Date,Name,CURRENT RATIO,PRICE EARNINGS RATIO,RETURN ON INVESTED CAPITAL,TOTAL DEBT TO TOTAL ASSET,TOTAL DEBT TO TOTAL EQUITY,RETURN ON ASSET RATIO
2014/06/30,TRMB ,1.0836,37.5231,4.2896,34.8086,75.9911,3.2199
2014/07/31,TRMB ,1.0321,37.5231,7.8017,34.0783,73.5943,5.6041
2014/09/30,TRMB ,1.0321,26.6578,7.8017,34.0783,73.5943,5.6041
2014/10/31,TRMB ,1.053,34.8681,7.8652,34.0873,73.5691,5.4107
2014/12/31,TRMB ,1.043,37.3714,8.1598,32.0008,66.5558,5.9081
2015/01/31,TRMB ,1.0024,37.3714,7.624,32.5367,67.7307,5.5498
2015/03/31,TRMB ,1.0024,32.9168,7.624,32.5367,67.7307,5.5498
2015/04/30,TRMB ,1.0024,35.3595,7.624,32.5367,67.7307,5.5498
2015/06/30,TRMB ,1.0181,35.3595,11.214,29.9095,63.6521,8.2837
2015/07/31,TRMB ,0.972,16.9661,11.1758,31.0229,67.0567,8.1405
2015/09/30,TRMB ,0.972,23.0212,11.1758,31.0229,67.0567,8.1405
2015/10/31,TRMB ,0.9569,23.0212,10.8006,29.2671,60.5272,7.7038
2015/12/31,TRMB ,0.9569,27.7883,10.8006,29.2671,60.5272,7.7038
2016/01/31,TRMB ,0.9237,27.7883,10.8422,26.8964,53.1644,7.8676
2016/03/31,TRMB ,0.9237,44.4042,10.8422,26.8964,53.1644,7.8676
2016/04/30,TRMB ,0.9772,44.4042,8.1384,24.5779,46.9683,5.7688
2016/06/30,TRMB ,1.0941,45.9347,9.0066,21.994,40.5951,6.5623
2016/07/31,TRMB ,1.279,39.8961,9.9951,21.2318,38.5088,7.6195
2016/09/30,TRMB ,1.279,40.1009,9.9951,21.2318,38.5088,7.6195
2016/10/31,TRMB ,1.3674,40.1009,10.544,20.7099,37.3641,8.1848
2016/12/30,TRMB ,1.2204,44.6473,9.4296,20.4181,36.748,7.0504
2017/01/31,TRMB ,1.2554,36.1405,9.7025,19.8052,35.6453,6.9996
2017/03/31,TRMB ,1.0176,35.9089,9.2464,20.3555,36.1664,7.4573
2017/04/30,TRMB ,0.9933,37.2216,8.5113,23.9075,44.0101,6.8091
2017/06/30,TRMB ,1.0384,36.0695,7.6931,22.8381,40.9881,6.2595
2017/07/31,TRMB ,1.0384,37.3965,7.6931,22.8381,40.9881,6.2595
2000/04/30,TROW ,,19.7674,33.5282,1.4967,1.7656,26.7922
2000/06/30,TROW ,,21.3352,33.5282,1.4967,1.7656,26.7922
2000/07/31,TROW ,,21.3352,29.2187,21.8529,33.3045,23.4599
2000/09/29,TROW ,,20.32,29.2187,21.8529,33.3045,23.4599
2000/10/31,TROW ,,20.32,25.9917,21.2512,31.4976,21.8058
2000/12/29,TROW ,,16.6556,25.9917,21.2512,31.4976,21.8058
2001/01/31,TROW ,,16.6556,22.2636,19.9129,28.8993,18.8337
2001/03/30,TROW ,,21.4885,22.2636,19.9129,28.8993,18.8337
2001/04/30,TROW ,,21.4885,20.2266,15.1726,20.6405,17.5735
2001/06/29,TROW ,,18.3125,20.2266,15.1726,20.6405,17.5735
2001/07/31,TROW ,,18.3125,16.5309,9.8768,13.1629,14.2969
2001/09/28,TROW ,,22.8487,15.6612,7.9116,9.6388,14.0782
2001/10/31,TROW ,,25.1161,15.6612,7.9116,9.6388,14.0782
2001/12/31,TROW ,,25.1161,15.7818,5.1741,6.2122,14.1566
2002/01/31,TROW ,,21.2129,15.7818,5.1741,6.2122,14.1566
2002/03/29,TROW ,,21.2129,16.6228,4.3335,5.3745,14.4392
2002/04/30,TROW ,,16.64,16.3323,4.1107,5.1405,13.8011
2002/06/28,TROW ,,17.9474,16.3821,4.0789,4.9301,14.4774
2002/07/31,TROW ,,19.0979,15.107,3.2492,3.9655,13.1146
2002/09/30,TROW ,,26.2153,15.4118,1.2121,1.437,13.1411
2002/10/31,TROW ,,25.6273,16.8383,0.8593,1.0272,14.1952
2002/12/31,TROW ,,26.7853,18.0671,0,0,15.5973
2003/01/31,TROW ,,26.3873,20.4748,0,0,17.6316
2003/03/31,TROW ,,22.7027,21.6179,0,0,18.63
2003/04/30,TROW ,,21.8627,21.7095,0,0,18.4026
2003/06/30,TROW ,,24.7809,22.2408,0,0,19.4084
2003/07/31,TROW ,,22.6641,22.318,0,0,19.4747
2003/09/30,TROW ,,22.518,22.8361,0,0,19.8452
2003/10/31,TROW ,,21.6944,23.6122,0,0,20.1186
2003/12/31,TROW ,,22.8667,23.6122,0,0,20.1186
2004/01/31,TROW ,,22.8667,23.0194,0,0,20.3299
2004/03/31,TROW ,,23.7,23.0194,0,0,20.1566
2004/04/30,TROW ,,21.483,23.0194,0,0,21.2981
2004/06/30,TROW ,,26.6574,23.0194,0,0,21.2981
2004/07/31,TROW ,,26.6574,23.0194,0,0,20.3602
2004/09/30,TROW ,,23.0368,23.0194,0,0,20.3602
2004/10/31,TROW ,,23.0368,23.0194,0,0,20.8633
2004/12/31,TROW ,,23.7136,23.0194,0,0,20.8633
2005/01/31,TROW ,,23.7136,23.0194,0,0,20.3862
2005/03/31,TROW ,,24.9471,23.0194,0,0,20.3862
2005/04/30,TROW ,,24.9471,23.0194,0,0,20.8868
2005/06/30,TROW ,,24.7511,23.0194,0,0,20.8868
2005/07/31,TROW ,,24.7511,23.0194,0,0,21.6682
2005/09/30,TROW ,,25.3667,23.0194,0,0,22.5692
2005/10/31,TROW ,,20.4918,23.0194,0,0,22.9972
2005/12/30,TROW ,,22.9553,23.0194,0,0,22.1733
2006/01/31,TROW ,,22.4728,23.0194,0,0,20.961
2006/03/31,TROW ,,19.6889,23.0194,0,0,16.369
2006/04/30,TROW ,,20.0417,23.0194,0,0,13.4973
2006/06/30,TROW ,,34.1557,23.0194,0,0,10.8321
2006/07/31,TROW ,,39.3966,23.0194,0,0,9.7207
2006/09/29,TROW ,,32.4695,16.9829,0,0,14.3821
2006/10/31,TROW ,,27.1931,19.0383,0,0,17.4101
2006/12/29,TROW ,,19.9058,20.9928,0,0,18.7722
2007/01/31,TROW ,,21.1245,21.2034,0,0,18.8302
2007/03/30,TROW ,,25.6111,21.5081,0,0,19.6197
2007/04/30,TROW ,,24.8764,21.4624,0,0,19.6142
2007/06/29,TROW ,,21.2465,23.1852,0,0,20.8636
2007/07/31,TROW ,,16.4158,23.9923,0,0,20.9756
2007/09/28,TROW ,,19.5034,23.9923,0,0,20.9756
2007/10/31,TROW ,,19.5034,23.0721,0,0,20.8626
2007/12/31,TROW ,,22.1356,23.0721,0,0,20.8626
2008/01/31,TROW ,,22.1356,21.4725,0,0,19.4929
2008/03/31,TROW ,,21.1275,21.4725,0,0,19.4929
2008/04/30,TROW ,,21.1275,21.5472,0,0,19.4567
2008/06/30,TROW ,,19.7196,21.5472,0,0,19.4567
2008/07/31,TROW ,,19.7196,22.4114,0,0,20.3755
2008/09/30,TROW ,,19.4673,23.543,0,0,22.1645
2008/10/31,TROW ,,21.3572,23.543,0,0,22.1645
2008/12/31,TROW ,,21.3572,22.6485,0,0,21.364
2009/01/31,TROW ,,20.1204,22.6485,0,0,21.364
2009/03/31,TROW ,,20.1204,23.1131,0,0,21.7367
2009/04/30,TROW ,,19.4636,22.9126,0,0,20.8132
2009/06/30,TROW ,,21.5347,23.4207,0,0,22.6876
2009/07/31,TROW ,,20.0854,23.1109,0,0,22.04
2009/09/30,TROW ,,19.5847,22.9449,0,0,22.3178
